Europe,Serbia,Beverages,Online,M,12/18/2010,234201323,1/4/2011,4231,47.45,31.79,200760.95,134503.49,66257.46
Sub-Saharan Africa,Swaziland,Cosmetics,Offline,M,5/2/2013,410690248,6/14/2013,1226,437.20,263.33,536007.20,322842.58,213164.62
Central America and the Caribbean,Saint Kitts and Nevis ,Office Supplies,Online,M,5/6/2017,240848910,6/11/2017,1400,651.21,524.96,911694.00,734944.00,176750.00
Middle East and North Africa,United Arab Emirates,Snacks,Offline,L,10/7/2014,410663640,10/14/2014,3352,152.58,97.44,511448.16,326618.88,184829.28
Sub-Saharan Africa,Burkina Faso,Personal Care,Offline,H,5/10/2017,776433265,5/16/2017,2712,81.73,56.67,221651.76,153689.04,67962.72
Sub-Saharan Africa,Chad,Household,Offline,C,3/23/2015,814769113,5/8/2015,7141,668.27,502.54,4772116.07,3588638.14,1183477.93
North America,Greenland,Cosmetics,Offline,M,11/25/2010,972595012,12/20/2010,1332,437.20,263.33,582350.40,350755.56,231594.84
Middle East and North Africa,Yemen,Snacks,Online,L,7/24/2015,417147290,8/1/2015,2008,152.58,97.44,306380.64,195659.52,110721.12
Europe,Ireland,Personal Care,Offline,C,12/7/2014,185974776,1/24/2015,2924,81.73,56.67,238978.52,165703.08,73275.44
Middle East and North Africa,Tunisia ,Cosmetics,Offline,L,12/17/2010,936938798,12/25/2010,9866,437.20,263.33,4313415.20,2598013.78,1715401.42
Central America and the Caribbean,Saint Lucia,Fruits,Online,C,6/7/2010,698213183,7/21/2010,5652,9.33,6.92,52733.16,39111.84,13621.32
Middle East and North Africa,Libya,Vegetables,Online,H,8/21/2013,718284261,9/12/2013,5129,154.06,90.93,790173.74,466379.97,323793.77
Australia and Oceania,Vanuatu,Cereal,Online,C,7/24/2010,515950858,9/9/2010,179,205.70,117.11,36820.30,20962.69,15857.61
Australia and Oceania,Kiribati,Snacks,Online,M,12/25/2014,130324304,2/1/2015,4712,152.58,97.44,718956.96,459137.28,259819.68
Europe,Greece,Beverages,Offline,M,3/26/2015,570828425,3/27/2015,9671,47.45,31.79,458888.95,307441.09,151447.86
Europe,Slovakia,Household,Online,H,11/9/2015,667199552,11/16/2015,8029,668.27,502.54,5365539.83,4034893.66,1330646.17
Australia and Oceania,Australia,Fruits,Offline,H,2/7/2011,219486510,2/20/2011,9791,9.33,6.92,91350.03,67753.72,23596.31
Middle East and North Africa,Bahrain,Snacks,Online,H,6/8/2011,448050630,7/21/2011,6993,152.58,97.44,1066991.94,681397.92,385594.02
Asia,Singapore,Office Supplies,Online,C,1/6/2017,843565738,1/10/2017,8703,651.21,524.96,5667480.63,4568726.88,1098753.75
Europe,Ukraine,Beverages,Offline,C,12/7/2013,517018163,12/28/2013,6018,47.45,31.79,285554.10,191312.22,94241.88
Central America and the Caribbean,Costa Rica,Office Supplies,Offline,L,11/5/2015,449706733,11/10/2015,7071,651.21,524.96,4604705.91,3711992.16,892713.75
Europe,Finland,Office Supplies,Online,H,10/1/2014,343242776,11/1/2014,2020,651.21,524.96,1315444.20,1060419.20,255025.00
Middle East and North Africa,Yemen,Beverages,Offline,C,1/28/2015,869550120,2/8/2015,8059,47.45,31.79,382399.55,256195.61,126203.94
