Europe,Hungary,Clothes,Offline,L,10/2/2011,490529525,11/6/2011,7442,109.28,35.84,813261.76,266721.28,546540.48
Sub-Saharan Africa,Lesotho,Office Supplies,Online,H,4/29/2010,783143937,6/15/2010,8549,651.21,524.96,5567194.29,4487883.04,1079311.25
Europe,Moldova ,Clothes,Online,C,12/29/2011,212631213,1/11/2012,1156,109.28,35.84,126327.68,41431.04,84896.64
Europe,Netherlands,Clothes,Online,M,3/31/2013,477477681,4/25/2013,5111,109.28,35.84,558530.08,183178.24,375351.84
Europe,Kosovo,Meat,Offline,L,6/11/2015,646482169,6/24/2015,7295,421.89,364.69,3077687.55,2660413.55,417274.00
Sub-Saharan Africa,Cape Verde,Clothes,Online,C,6/1/2013,308756005,6/22/2013,6618,109.28,35.84,723215.04,237189.12,486025.92
Middle East and North Africa,Iraq,Personal Care,Online,L,6/10/2014,923723018,7/11/2014,9023,81.73,56.67,737449.79,511333.41,226116.38
Central America and the Caribbean,Costa Rica,Personal Care,Online,L,9/11/2011,871119534,10/18/2011,2483,81.73,56.67,202935.59,140711.61,62223.98
Australia and Oceania,Samoa ,Personal Care,Online,C,10/16/2010,400994384,11/7/2010,2004,81.73,56.67,163786.92,113566.68,50220.24
Europe,Kosovo,Cosmetics,Online,C,10/30/2010,283708894,12/3/2010,4621,437.20,263.33,2020301.20,1216847.93,803453.27
Middle East and North Africa,Lebanon,Beverages,Offline,L,10/7/2015,459936892,10/13/2015,4402,47.45,31.79,208874.90,139939.58,68935.32
Sub-Saharan Africa,Cape Verde,Cosmetics,Offline,L,6/21/2015,490664708,7/30/2015,7446,437.20,263.33,3255391.20,1960755.18,1294636.02
North America,Greenland,Office Supplies,Online,C,3/27/2012,907191169,4/13/2012,6881,651.21,524.96,4480976.01,3612249.76,868726.25
Europe,Austria,Beverages,Offline,M,12/31/2016,961127603,2/10/2017,7871,47.45,31.79,373478.95,250219.09,123259.86
Sub-Saharan Africa,Uganda,Baby Food,Online,H,4/5/2015,874397838,5/24/2015,2606,255.28,159.42,665259.68,415448.52,249811.16
Middle East and North Africa,Pakistan,Household,Online,L,4/14/2016,489238202,5/25/2016,5311,668.27,502.54,3549181.97,2668989.94,880192.03
Europe,San Marino,Cosmetics,Online,M,6/30/2011,618197524,7/7/2011,7240,437.20,263.33,3165328.00,1906509.20,1258818.80
Sub-Saharan Africa,Liberia,Vegetables,Offline,M,1/28/2016,794137132,1/29/2016,1680,154.06,90.93,258820.80,152762.40,106058.40
Sub-Saharan Africa,Burundi,Cosmetics,Online,H,3/17/2012,620230853,3/31/2012,8947,437.20,263.33,3911628.40,2356013.51,1555614.89
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies,Online,L,6/9/2013,219965016,7/29/2013,1391,651.21,524.96,905833.11,730219.36,175613.75
Middle East and North Africa,Lebanon,Baby Food,Online,M,6/5/2015,687138450,6/5/2015,8392,255.28,159.42,2142309.76,1337852.64,804457.12
Europe,Bulgaria,Office Supplies,Offline,L,11/29/2014,935862481,12/22/2014,1360,651.21,524.96,885645.60,713945.60,171700.00
Australia and Oceania,Nauru,Meat,Offline,C,6/25/2013,850560939,7/7/2013,8738,421.89,364.69,3686474.82,3186661.22,499813.60
Asia,Singapore,Meat,Online,M,10/14/2013,835970151,11/7/2013,1000,421.89,364.69,421890.00,364690.00,57200.00
Asia,Taiwan,Cosmetics,Online,C,10/2/2015,467138946,10/6/2015,5650,437.20,263.33,2470180.00,1487814.50,982365.50
Middle East and North Africa,Syria,Personal Care,Online,M,10/21/2012,739428651,11/4/2012,2224,81.73,56.67,181767.52,126034.08,55733.44
Asia,Tajikistan,Fruits,Offline,H,10/16/2010,918513095,12/5/2010,7291,9.33,6.92,68025.03,50453.72,17571.31
Europe,Andorra,Fruits,Offline,H,8/14/2016,790378606,9/3/2016,9448,9.33,6.92,88149.84,65380.16,22769.68
Central America and the Caribbean,Panama,Snacks,Offline,H,10/6/2011,211324012,11/2/2011,4326,152.58,97.44,660061.08,421525.44,238535.64
Asia,Bangladesh,Beverages,Online,L,8/13/2016,457960641,9/14/2016,9585,47.45,31.79,454808.25,304707.15,150101.10
Central America and the Caribbean,Dominica,Household,Online,C,1/1/2011,177212321,2/4/2011,9919,668.27,502.54,6628570.13,4984694.26,1643875.87
Europe,Russia,Clothes,Online,C,8/28/2013,336315381,10/15/2013,2050,109.28,35.84,224024.00,73472.00,150552.00
Middle East and North Africa,Afghanistan,Fruits,Offline,C,4/26/2010,172818648,5/22/2010,9733,9.33,6.92,90808.89,67352.36,23456.53
Australia and Oceania,Tuvalu,Clothes,Online,M,6/29/2010,344583451,8/1/2010,8755,109.28,35.84,956746.40,313779.20,642967.20
Sub-Saharan Africa,The Gambia,Beverages,Online,M,5/27/2013,679783618,6/20/2013,1934,47.45,31.79,91768.30,61481.86,30286.44
Asia,Singapore,Office Supplies,Online,L,10/6/2011,626905477,10/19/2011,4117,651.21,524.96,2681031.57,2161260.32,519771.25
Asia,Maldives,Household,Offline,M,9/16/2010,604747855,9/24/2010,7184,668.27,502.54,4800851.68,3610247.36,1190604.32
Central America and the Caribbean,Honduras,Cosmetics,Online,L,6/8/2016,652422082,7/5/2016,5047,437.20,263.33,2206548.40,1329026.51,877521.89
Asia,Kazakhstan,Vegetables,Offline,L,4/14/2017,879351985,5/10/2017,8648,154.06,90.93,1332310.88,786362.64,545948.24
Central America and the Caribbean,Costa Rica,Fruits,Online,M,3/23/2010,115273892,4/18/2010,961,9.33,6.92,8966.13,6650.12,2316.01
Sub-Saharan Africa,Mozambique,Vegetables,Offline,M,3/23/2012,860236632,4/26/2012,1991,154.06,90.93,306733.46,181041.63,125691.83
Europe,Austria,Meat,Online,L,1/10/2011,734601533,2/1/2011,3773,421.89,364.69,1591790.97,1375975.37,215815.60
Sub-Saharan Africa,Sao Tome and Principe,Baby Food,Offline,M,5/14/2014,129042422,7/3/2014,5375,255.28,159.42,1372130.00,856882.50,515247.50
Europe,Belarus,Household,Offline,M,11/28/2015,854545629,1/9/2016,7896,668.27,502.54,5276659.92,3968055.84,1308604.08
Sub-Saharan Africa,Liberia,Office Supplies,Offline,M,2/27/2014,292409980,3/7/2014,9466,651.21,524.96,6164353.86,4969271.36,1195082.50
Europe,Lithuania,Baby Food,Online,H,4/6/2016,844246804,4/30/2016,245,255.28,159.42,62543.60,39057.90,23485.70
Central America and the Caribbean,Cuba,Fruits,Offline,H,7/5/2011,481979930,7/7/2011,7427,9.33,6.92,69293.91,51394.84,17899.07
Sub-Saharan Africa,Benin,Household,Online,L,12/14/2012,397845685,1/2/2013,234,668.27,502.54,156375.18,117594.36,38780.82
Europe,Kosovo,Cereal,Online,H,10/18/2015,954392898,11/27/2015,4922,205.70,117.11,1012455.40,576415.42,436039.98
Europe,Ireland,Clothes,Offline,M,4/19/2016,334482896,5/31/2016,9777,109.28,35.84,1068430.56,350407.68,718022.88
Central America and the Caribbean,Saint Lucia,Cosmetics,Offline,L,7/29/2015,391289508,9/8/2015,116,437.20,263.33,50715.20,30546.28,20168.92
Asia,Nepal,Household,Online,C,10/19/2015,798299062,11/5/2015,3287,668.27,502.54,2196603.49,1651848.98,544754.51
Asia,China,Personal Care,Offline,L,6/6/2016,399310386,7/13/2016,3672,81.73,56.67,300112.56,208092.24,92020.32
