Central America and the Caribbean,Nicaragua,Cereal,Online,L,12/13/2015,994819152,12/30/2015,7949,205.70,117.11,1635109.30,930907.39,704201.91
Central America and the Caribbean,Jamaica,Beverages,Offline,M,5/20/2017,830512177,6/1/2017,5864,47.45,31.79,278246.80,186416.56,91830.24
Europe,France,Beverages,Offline,C,12/10/2012,298781192,1/7/2013,4849,47.45,31.79,230085.05,154149.71,75935.34
Central America and the Caribbean,Cuba,Snacks,Offline,L,6/9/2011,310612523,7/18/2011,6003,152.58,97.44,915937.74,584932.32,331005.42
Europe,Slovakia,Snacks,Online,L,5/17/2011,947304999,5/22/2011,7455,152.58,97.44,1137483.90,726415.20,411068.70
Asia,Turkmenistan,Meat,Offline,M,4/29/2012,110469949,5/1/2012,9368,421.89,364.69,3952265.52,3416415.92,535849.60
Australia and Oceania,Papua New Guinea,Clothes,Online,L,2/24/2011,272031199,4/9/2011,8932,109.28,35.84,976088.96,320122.88,655966.08
Europe,Estonia,Cereal,Online,H,5/2/2013,824225080,5/6/2013,5372,205.70,117.11,1105020.40,629114.92,475905.48
Australia and Oceania,Samoa ,Cosmetics,Offline,H,1/28/2014,329600417,1/28/2014,4943,437.20,263.33,2161079.60,1301640.19,859439.41
Europe,Spain,Office Supplies,Online,H,3/19/2017,571018540,3/27/2017,5930,651.21,524.96,3861675.30,3113012.80,748662.50
Australia and Oceania,East Timor,Office Supplies,Online,C,4/12/2016,701653277,5/28/2016,3652,651.21,524.96,2378218.92,1917153.92,461065.00
Middle East and North Africa,Azerbaijan,Fruits,Online,C,6/17/2013,394990956,7/27/2013,5456,9.33,6.92,50904.48,37755.52,13148.96
Europe,Spain,Office Supplies,Online,L,10/11/2015,294830405,10/22/2015,5724,651.21,524.96,3727526.04,3004871.04,722655.00
Asia,Thailand,Beverages,Online,M,3/8/2016,665282952,4/15/2016,865,47.45,31.79,41044.25,27498.35,13545.90
Central America and the Caribbean,Honduras,Baby Food,Offline,H,6/24/2012,940772426,8/5/2012,4322,255.28,159.42,1103320.16,689013.24,414306.92
Europe,Netherlands,Personal Care,Online,C,2/6/2011,176035153,2/9/2011,1569,81.73,56.67,128234.37,88915.23,39319.14
Europe,Portugal,Clothes,Online,C,10/6/2015,196119964,11/20/2015,5110,109.28,35.84,558420.80,183142.40,375278.40
Europe,Macedonia,Cosmetics,Offline,M,2/8/2016,646388185,3/29/2016,9483,437.20,263.33,4145967.60,2497158.39,1648809.21
Europe,Poland,Snacks,Online,H,3/8/2014,342513644,4/17/2014,6254,152.58,97.44,954235.32,609389.76,344845.56
Central America and the Caribbean,Grenada,Fruits,Online,C,2/13/2013,420482671,2/14/2013,9021,9.33,6.92,84165.93,62425.32,21740.61
Europe,Andorra,Vegetables,Offline,C,4/29/2013,286594092,5/8/2013,8416,154.06,90.93,1296568.96,765266.88,531302.08
Sub-Saharan Africa,Liberia,Vegetables,Offline,H,4/5/2016,767459237,5/25/2016,7098,154.06,90.93,1093517.88,645421.14,448096.74
Sub-Saharan Africa,Rwanda,Baby Food,Offline,H,2/7/2013,960001933,3/27/2013,4760,255.28,159.42,1215132.80,758839.20,456293.60
Asia,Indonesia,Meat,Offline,M,3/29/2011,481458508,5/12/2011,3127,421.89,364.69,1319250.03,1140385.63,178864.40
Europe,Finland,Office Supplies,Offline,C,4/30/2015,819377791,5/12/2015,952,651.21,524.96,619951.92,499761.92,120190.00
Central America and the Caribbean,Saint Kitts and Nevis ,Clothes,Online,L,12/13/2015,381621110,1/29/2016,9022,109.28,35.84,985924.16,323348.48,662575.68
Middle East and North Africa,Jordan,Snacks,Online,C,2/11/2016,346362292,3/6/2016,5154,152.58,97.44,786397.32,502205.76,284191.56
Middle East and North Africa,Algeria,Personal Care,Offline,H,4/26/2012,612087666,6/1/2012,9197,81.73,56.67,751670.81,521193.99,230476.82
Asia,Malaysia,Fruits,Online,C,6/26/2013,247596061,7/9/2013,8031,9.33,6.92,74929.23,55574.52,19354.71
Europe,Ireland,Meat,Offline,C,6/15/2014,641998803,8/3/2014,567,421.89,364.69,239211.63,206779.23,32432.40
Sub-Saharan Africa,Uganda,Office Supplies,Offline,L,12/3/2014,554719722,12/28/2014,2748,651.21,524.96,1789525.08,1442590.08,346935.00
Europe,Greece,Household,Offline,C,8/24/2015,165495145,9/30/2015,2546,668.27,502.54,1701415.42,1279466.84,421948.58
Sub-Saharan Africa,Sierra Leone,Baby Food,Offline,L,8/30/2014,624373900,9/16/2014,4967,255.28,159.42,1267975.76,791839.14,476136.62
Europe,Lithuania,Beverages,Offline,H,1/26/2011,901717317,2/8/2011,7047,47.45,31.79,334380.15,224024.13,110356.02
Europe,Ireland,Cosmetics,Offline,M,5/24/2016,938199222,6/2/2016,2853,437.20,263.33,1247331.60,751280.49,496051.11
Asia,Laos,Baby Food,Online,M,12/9/2012,294805943,12/13/2012,8485,255.28,159.42,2166050.80,1352678.70,813372.10
Asia,Turkmenistan,Beverages,Offline,M,7/29/2010,402836310,9/1/2010,7071,47.45,31.79,335518.95,224787.09,110731.86
Asia,Uzbekistan,Fruits,Offline,H,8/27/2012,513901650,10/15/2012,3773,9.33,6.92,35202.09,26109.16,9092.93
Asia,Japan,Cosmetics,Offline,H,4/1/2012,849925792,5/7/2012,784,437.20,263.33,342764.80,206450.72,136314.08
Sub-Saharan Africa,Botswana,Clothes,Online,H,1/25/2011,353145062,3/13/2011,2326,109.28,35.84,254185.28,83363.84,170821.44
Europe,Andorra,Fruits,Offline,M,8/29/2015,736108291,9/19/2015,9656,9.33,6.92,90090.48,66819.52,23270.96
Australia and Oceania,Samoa ,Personal Care,Online,H,12/5/2010,631676805,12/16/2010,6059,81.73,56.67,495202.07,343363.53,151838.54
Europe,Andorra,Household,Offline,C,12/3/2016,543024432,12/13/2016,1852,668.27,502.54,1237636.04,930704.08,306931.96
Central America and the Caribbean,Dominican Republic,Fruits,Offline,H,11/19/2016,593637502,12/9/2016,9384,9.33,6.92,87552.72,64937.28,22615.44
Sub-Saharan Africa,Comoros,Fruits,Online,H,1/22/2014,977314841,2/27/2014,8034,9.33,6.92,74957.22,55595.28,19361.94
Europe,Cyprus,Cosmetics,Online,C,10/2/2012,608167779,10/13/2012,9215,437.20,263.33,4028798.00,2426585.95,1602212.05
Europe,Sweden,Snacks,Offline,L,7/22/2014,270620143,9/2/2014,1369,152.58,97.44,208882.02,133395.36,75486.66
Middle East and North Africa,Pakistan,Personal Care,Online,L,7/17/2014,369408261,8/21/2014,4968,81.73,56.67,406034.64,281536.56,124498.08
Sub-Saharan Africa,Niger,Baby Food,Offline,H,8/22/2012,479580962,9/27/2012,7519,255.28,159.42,1919450.32,1198678.98,720771.34
Central America and the Caribbean,Dominica,Vegetables,Online,L,6/3/2017,696499574,6/7/2017,8556,154.06,90.93,1318137.36,777997.08,540140.28
